Dataset,Resolution,Comparison,Mean_Difference,CI_Lower,CI_Upper,t,df,Raw_p,Cohens_dz,Holm_p,Significant
chestmnist,40,VGG16 vs ViT,-0.06301849480518504,-0.06516188297327195,-0.060875106637098116,-57.636852597481,6187,0.0,-0.7326981661458705,0.0,True
chestmnist,48,ResNet18 vs VGG16,0.3846171303172418,0.3831677485740604,0.38606651206042325,520.210240182316,6187,0.0,6.613079511016605,0.0,True
chestmnist,48,ResNet18 vs ViT,0.3052554466191537,0.30332629345020745,0.3071845997881,310.1914131007216,6187,0.0,3.9432527851638435,0.0,True
chestmnist,48,VGG16 vs ViT,-0.0793616836980881,-0.08169125607924735,-0.07703211131692886,-66.78327680708726,6187,0.0,-0.8489704458272838,0.0,True
chestmnist,56,ResNet18 vs VGG16,0.36648920397307305,0.3650078770585398,0.3679705308876063,485.0017797157639,6187,0.0,6.165498263011582,0.0,True
chestmnist,56,ResNet18 vs ViT,0.2642646804957638,0.2623735571639862,0.2661558038275414,273.9380311757697,6187,0.0,3.48238816025962,0.0,True
chestmnist,56,VGG16 vs ViT,-0.10222452347730927,-0.10462273275765496,-0.09982631419696358,-83.56050879883098,6187,0.0,-1.0622480027959602,0.0,True
chestmnist,64,ResNet18 vs VGG16,0.33201518047507067,0.3305082996223543,0.33352206132778706,431.92872442270425,6187,0.0,5.490816552742712,0.0,True
chestmnist,64,ResNet18 vs ViT,0.24876727858280165,0.24696225206078193,0.25057230510482137,270.17348685963486,6187,0.0,3.4345320648536166,0.0,True
chestmnist,64,VGG16 vs ViT,-0.08324790189226905,-0.08565336565035904,-0.08084243813417906,-67.84338973877705,6187,0.0,-0.862446941609959,0.0,True
chestmnist,80,ResNet18 vs VGG16,0.2795570393772609,0.2780749340919617,0.2810391446625601,369.7638386096441,6187,0.0,4.700556575294061,0.0,True
chestmnist,80,ResNet18 vs ViT,0.18711842676960583,0.18559609693342458,0.18864075660578708,240.9577273622068,6187,0.0,3.0631319546529436,0.0,True
chestmnist,80,VGG16 vs ViT,-0.0924386126076551,-0.09460949477511829,-0.0902677304401919,-83.47380830241273,6187,0.0,-1.0611458382629102,0.0,True
chestmnist,96,ResNet18 vs VGG16,0.22978045582366746,0.22842048790164604,0.23114042374568888,331.2207087822273,6187,0.0,4.210583940263245,0.0,True
chestmnist,96,ResNet18 vs ViT,0.13771950584037426,0.13649477459407727,0.13894423708667125,220.43863741684788,6187,0.0,2.8022866985987696,0.0,True
chestmnist,96,VGG16 vs ViT,-0.09206094998329319,-0.09391857413019263,-0.09020332583639375,-97.15175818461897,6187,0.0,-1.2350243264814986,0.0,True
chestmnist,112,ResNet18 vs VGG16,0.2109427857558883,0.20960364373403406,0.21228192777774252,308.79559683215535,6187,0.0,3.9255087208340758,0.0,True
chestmnist,112,ResNet18 vs ViT,0.13679473967072883,0.1356106545050105,0.13797882483644716,226.47460829936975,6187,0.0,2.8790178974277443,0.0,True
chestmnist,112,VGG16 vs ViT,-0.07414804608515947,-0.07594955300525626,-0.07234653916506269,-80.6857493361922,6187,0.0,-1.0257031379835817,0.0,True
chestmnist,128,ResNet18 vs VGG16,0.1562047792043544,0.1551117849561492,0.15729777345255963,280.16217543442247,6187,0.0,3.5615114794316587,0.0,True
chestmnist,128,ResNet18 vs ViT,0.0945332260211206,0.09361897566815412,0.09544747637408708,202.69937160343198,6187,0.0,2.5767794589679913,0.0,True
chestmnist,128,VGG16 vs ViT,-0.06167155318323381,-0.0631062008740633,-0.06023690549240432,-84.26993961846232,6187,0.0,-1.0712665150346723,0.0,True
chestmnist,160,ResNet18 vs VGG16,0.10068041734450389,0.09988590967556196,0.10147492501344582,248.4162341164742,6187,0.0,3.1579468859817434,0.0,True
chestmnist,160,ResNet18 vs ViT,0.06062147746605494,0.05998549740475932,0.06125745752735055,186.85988479719697,6187,0.0,2.3754228197241734,0.0,True
chestmnist,160,VGG16 vs ViT,-0.04005893987844895,-0.041074468523817714,-0.03904341123308018,-77.32863318659328,6187,0.0,-0.9830264001761234,0.0,True
chestmnist,192,ResNet18 vs VGG16,0.07161613706434321,0.07103640110693278,0.07219587302175363,242.16630433636186,6187,0.0,3.0784957729862206,0.0,True
chestmnist,192,ResNet18 vs ViT,0.03874963309083666,0.038296565067365576,0.03920270111430775,167.66300401403174,6187,0.0,2.131385910842705,0.0,True
chestmnist,192,VGG16 vs ViT,-0.03286650397350654,-0.03359380248909555,-0.03213920545791753,-88.58779040260237,6187,0.0,-1.1261564198205072,0.0,True
stl10,8,ResNet18 vs VGG16,0.1813911966457963,0.17982504618832407,0.18295734710326855,227.03694540235105,7999,0.0,2.5383502166178267,0.0,True
stl10,8,ResNet18 vs ViT,0.3531855801632919,0.3516070027996224,0.35476415752696133,438.5821012555239,7999,0.0,4.903496960610237,0.0,True
stl10,8,VGG16 vs ViT,0.1717943835174956,0.1698799130865129,0.1737088539484783,175.90334945768143,7999,0.0,1.9666592342863825,0.0,True
stl10,12,ResNet18 vs VGG16,0.1755102597004734,0.17385771794049432,0.1771628014604525,208.1919230449631,7999,0.0,2.327656461474713,0.0,True
stl10,12,ResNet18 vs ViT,0.32201534258696485,0.31988143638578087,0.3241492487881488,295.81149733771997,7999,0.0,3.307273082865699,0.0,True
stl10,12,VGG16 vs ViT,0.14650508288649144,0.14411990305644964,0.14889026271653324,120.4052365407141,7999,0.0,1.3461714687598918,0.0,True
stl10,16,ResNet18 vs VGG16,0.1856797757623717,0.18391975539512959,0.18743979612961384,206.8048503018006,7999,0.0,2.3121485167574702,0.0,True
stl10,16,ResNet18 vs ViT,0.2896355073185405,0.2869346722572239,0.29233634237985706,210.2168626966879,7999,0.0,2.3502959750326693,0.0,True
stl10,16,VGG16 vs ViT,0.10395573155616876,0.10109864621908483,0.10681281689325269,71.32454954374836,7999,0.0,0.7974327062218647,0.0,True
stl10,24,ResNet18 vs VGG16,0.19983305776305496,0.19794065414475887,0.20172546138135106,206.99858415498343,7999,0.0,2.314314527083769,0.0,True
stl10,24,ResNet18 vs ViT,0.2204016977297142,0.21729928837008947,0.22350410708933896,139.26104329571402,7999,0.0,1.5569857971337897,0.0,True
stl10,24,VGG16 vs ViT,0.02056863996665925,0.017312805283601438,0.02382447464971706,12.383888753469064,7999,6.664550158836278e-35,0.1384560853927598,1.9993650476508835e-34,True
stl10,26,ResNet18 vs VGG16,0.1996009940635413,0.19769885157554523,0.20150313655153734,205.69960808903625,7999,0.0,2.2997915331607532,0.0,True
stl10,26,ResNet18 vs ViT,0.2027739367308095,0.19968827248277324,0.20585960097884579,128.81821444403715,7999,0.0,1.4402314211850618,0.0,True
stl10,26,VGG16 vs ViT,0.0031729426672682166,-7.821875330206408e-05,0.006424104087838497,1.9130992562186002,7999,0.05577101102622468,0.02138909992304539,0.05577101102622468,False
stl10,28,ResNet18 vs VGG16,0.19769122095406055,0.19580421099241246,0.19957823091570864,205.36527056331988,7999,0.0,2.296053525986099,0.0,True
stl10,28,ResNet18 vs ViT,0.18412033106107265,0.18108780165646088,0.1871528604656844,119.01742156942736,7999,0.0,1.3306552256799464,0.0,True
stl10,28,VGG16 vs ViT,-0.013570889892987907,-0.016800777073699518,-0.010341002712276295,-8.236349838485001,7999,2.0570323719175046e-16,-0.09208519062660936,4.114064743835009e-16,True
stl10,30,ResNet18 vs VGG16,0.1973901925869286,0.1955082223590328,0.1992721628148244,205.60166762824295,7999,0.0,2.298696525520346,0.0,True
stl10,30,ResNet18 vs ViT,0.17132955972012132,0.16837812182173612,0.17428099761850652,113.79219114030391,7999,0.0,1.2722353734918443,0.0,True
stl10,30,VGG16 vs ViT,-0.026060632866807282,-0.029239658354082813,-0.02288160737953175,-16.069588625437024,7999,3.2580821321362096e-57,-0.17966346268467298,1.3032328528544838e-56,True
stl10,32,ResNet18 vs VGG16,0.19073173728585244,0.18886889594244835,0.19259457862925652,200.70625500384426,7999,0.0,2.243964148490015,0.0,True
stl10,32,ResNet18 vs ViT,0.16130103215575217,0.15844826551023336,0.16415379880127098,110.83698644321316,7999,0.0,1.2391951805412362,0.0,True
stl10,32,VGG16 vs ViT,-0.02943070513010025,-0.03252302946681922,-0.026338380793381282,-18.656468534331744,7999,4.531143782327545e-76,-0.20858565931425824,2.2655718911637723e-75,True
stl10,40,ResNet18 vs VGG16,0.170511018615216,0.168782405767786,0.172239631462646,193.36083964179423,7999,0.0,2.16183990812744,0.0,True
stl10,40,ResNet18 vs ViT,0.11301009951345622,0.110631094344896,0.11538910468201645,93.11843806160267,7999,0.0,1.0410957873217366,0.0,True
stl10,40,VGG16 vs ViT,-0.05750091910175979,-0.06018166368552534,-0.054820174517994244,-42.04682043953702,7999,0.0,-0.47009774370266183,0.0,True
stl10,48,ResNet18 vs VGG16,0.14819229820743204,0.146645763457502,0.1497388329573621,187.83640222646014,7999,0.0,2.1000748201367885,0.0,True
stl10,48,ResNet18 vs ViT,0.08446636402606963,0.08250825755010963,0.08642447050202964,84.55928593636158,7999,0.0,0.9454015574127321,0.0,True
stl10,48,VGG16 vs ViT,-0.0637259341813624,-0.06600462329945057,-0.06144724506327422,-54.82074626104497,7999,0.0,-0.6129145760848198,0.0,True
stl10,56,ResNet18 vs VGG16,0.12289930845424533,0.12156357056140202,0.12423504634708865,180.36073796794784,7999,0.0,2.0164943528417933,0.0,True
stl10,56,ResNet18 vs ViT,0.05502979035675526,0.05358712823124449,0.05647245248226603,74.773384519405,7999,0.0,0.8359918534656,0.0,True
stl10,56,VGG16 vs ViT,-0.06786951809749008,-0.06966101135630383,-0.06607802483867632,-74.26315538059445,7999,0.0,-0.8302873182731922,0.0,True
stl10,64,ResNet18 vs VGG16,0.09282181687653064,0.09175828895186842,0.09388534480119286,171.08619923372714,7999,0.0,1.9128018574934318,0.0,True
stl10,64,ResNet18 vs ViT,0.042277178175747394,0.04117383629312548,0.04338052005836931,75.11206448959872,7999,0.0,0.8397784106454539,0.0,True
stl10,64,VGG16 vs ViT,-0.050544638700783254,-0.05193402696471901,-0.0491552504368475,-71.31243752351202,7999,0.0,-0.7972972897188981,0.0,True
stl10,80,ResNet18 vs VGG16,0.04932384859770536,0.04872019448209657,0.04992750271331415,160.17052568394064,7999,0.0,1.7907609171058363,0.0,True
stl10,80,ResNet18 vs ViT,0.018275548033416272,0.017728256660403875,0.01882283940642867,65.45843496383912,7999,0.0,0.7318475513994663,0.0,True
stl10,80,VGG16 vs ViT,-0.031048300564289092,-0.031790527012971095,-0.030306074115607085,-82.00025799378055,7999,0.0,-0.9167907552330692,0.0,True
