Dataset,Model,Resolution,r,Raw_p,N,Holm_p
chestmnist,ViT,112,0.4506467620675616,2.652367856176821e-307,6188,4.774262141118278e-306
chestmnist,ViT,96,0.4298016165612598,1.0690570943278462e-276,6188,1.8173970603573385e-275
chestmnist,ViT,80,0.4088229127061709,5.366786627878856e-248,6188,8.58685860460617e-247
chestmnist,ViT,64,0.37460450660360617,2.1021878740049693e-205,6188,3.1532818110074542e-204
chestmnist,ViT,56,0.3296351575958936,9.39365176556443e-157,6188,1.221174729523376e-155
chestmnist,ViT,48,0.2838934849294843,4.766951287456341e-115,6188,5.720341544947609e-114
chestmnist,ViT,40,0.23550501933099738,9.679855013961629e-79,6188,1.0647840515357792e-77
chestmnist,ViT,32,0.18820987829889144,1.922121838154334e-50,6188,1.7299096543389006e-49
chestmnist,ViT,30,0.18121478953919304,7.833787280916778e-47,6188,6.267029824733423e-46
chestmnist,ViT,28,0.1501483684140012,1.572770437466764e-32,6188,1.1009393062267348e-31
chestmnist,ViT,26,0.13601388489202962,6.109459376783603e-27,6188,3.0547296883918016e-26
chestmnist,ViT,24,0.14850651579715712,7.500094075280985e-32,6188,4.500056445168591e-31
chestmnist,ViT,16,0.1143377579427024,1.8463495382361616e-19,6188,5.539048614708485e-19
chestmnist,ViT,12,0.12144086836566483,9.105804450051313e-22,6188,3.642321780020525e-21
chestmnist,ViT,8,0.08864896279976933,2.832056297135448e-12,6188,2.832056297135448e-12
stl10,ResNet18,80,0.010524404068846064,0.3465971059901673,8000,0.3465971059901673
stl10,ResNet18,64,0.027665312010179376,0.013340501790251903,8000,0.026681003580503806
stl10,ResNet18,56,0.1287903988339804,6.144606701735979e-31,8000,3.0723033508679894e-30
stl10,ResNet18,48,0.2972176259607884,7.108470057385426e-163,8000,4.975929040169798e-162
stl10,ResNet18,40,0.4882258610505736,0.0,8000,0.0
stl10,ResNet18,32,0.5893246430493504,0.0,8000,0.0
stl10,ResNet18,30,0.5969875766510047,0.0,8000,0.0
stl10,ResNet18,28,0.5759926695882149,0.0,8000,0.0
stl10,ResNet18,26,0.5341130590858649,0.0,8000,0.0
stl10,ResNet18,24,0.48240494345706086,0.0,8000,0.0
stl10,ResNet18,16,0.22422872319806225,1.0143101079925596e-91,8000,6.085860647955358e-91
stl10,ResNet18,12,0.11418806886994802,1.2434127224313363e-24,8000,4.973650889725345e-24
stl10,ResNet18,8,0.0890290200026344,1.4920827159857628e-15,8000,4.4762481479572885e-15
stl10,VGG16,80,0.037804356884968804,0.0007195883881731446,8000,0.0007195883881731446
stl10,VGG16,64,0.20455683884660894,2.5278481835703116e-76,8000,1.0111392734281246e-75
stl10,VGG16,56,0.3717239771480988,1.2981459431947433e-260,8000,7.78887565916846e-260
stl10,VGG16,48,0.47915914384269676,0.0,8000,0.0
stl10,VGG16,40,0.5468325264037392,0.0,8000,0.0
stl10,VGG16,32,0.5201547788375374,0.0,8000,0.0
stl10,VGG16,30,0.48872151282018317,0.0,8000,0.0
stl10,VGG16,28,0.46678014963807163,0.0,8000,0.0
stl10,VGG16,26,0.42630754741360455,0.0,8000,0.0
stl10,VGG16,24,0.3844065161859581,4.627754848067594e-280,8000,3.2394283936473157e-279
stl10,VGG16,16,0.23889479194051974,3.2609308248913656e-104,8000,1.630465412445683e-103
stl10,VGG16,12,0.1798670766643673,3.779849945105038e-59,8000,1.1339549835315113e-58
stl10,VGG16,8,0.15096103505507416,5.3982993859295424e-42,8000,1.0796598771859085e-41
stl10,ViT,80,0.09187135295402465,1.8204045003775324e-16,8000,3.640809000755065e-16
stl10,ViT,64,0.06369586558558665,1.183878669381604e-08,8000,1.183878669381604e-08
stl10,ViT,56,0.10409645450735218,1.013893278150135e-20,8000,3.041679834450405e-20
stl10,ViT,48,0.23135878219654288,1.1020807137163291e-97,8000,5.510403568581646e-97
stl10,ViT,40,0.3483417800834156,5.542385469561204e-227,8000,3.8796698286928424e-226
stl10,ViT,32,0.4577184143705103,0.0,8000,0.0
stl10,ViT,30,0.4762570340444113,0.0,8000,0.0
stl10,ViT,28,0.4870690734305896,0.0,8000,0.0
stl10,ViT,26,0.49448441747277216,0.0,8000,0.0
stl10,ViT,24,0.4962901052825536,0.0,8000,0.0
stl10,ViT,16,0.4188023914024955,0.0,8000,0.0
stl10,ViT,12,0.31985416962409474,1.0088710360275905e-189,8000,6.053226216165543e-189
stl10,ViT,8,0.1887621980704245,4.586532022660284e-65,8000,1.8346128090641137e-64
