Dataset,Model,resolution,n,mean,std,sem,ci_lower,ci_upper
chestmnist,VGG16,192,6188,0.9091314709737521,0.024345295038381475,0.00030948520304319773,0.908524772433814,0.9097381695136902
chestmnist,VGG16,160,6188,0.8705005402440168,0.03363465499106763,0.00042757452775936904,0.8696623455931722,0.8713387348948614
chestmnist,VGG16,128,6188,0.7971212558000413,0.04703296477222518,0.0005978981412756536,0.7959491676815246,0.7982933439185581
chestmnist,VGG16,112,6188,0.7234098528738783,0.05865391164496649,0.0007456273471363546,0.7219481641779492,0.7248715415698074
chestmnist,VGG16,96,6188,0.6970433199943152,0.060422927295033575,0.0007681156417651308,0.6955375464265318,0.6985490935620987
chestmnist,VGG16,80,6188,0.6197173498864704,0.06755721258421077,0.0008588089657855692,0.6180337858888884,0.6214009138840525
chestmnist,VGG16,64,6188,0.5248083094328777,0.06987745083493292,0.0008883045790036983,0.5230669237840566,0.5265496950816988
chestmnist,VGG16,56,6188,0.45010312814470177,0.0674568707328172,0.0008575333879705002,0.4484220647228835,0.45178419156652005
chestmnist,VGG16,48,6188,0.39513592707846884,0.06326359013561514,0.0008042270593761576,0.39355936258393254,0.39671249157300514
chestmnist,VGG16,40,6188,0.3266657329806799,0.058157143385555325,0.0007393122696075384,0.3252164240311123,0.32811504193024754
chestmnist,VGG16,32,6188,0.2633520479349548,0.051336070898985155,0.0006526006072452455,0.26207272397476156,0.26463137189514807
chestmnist,VGG16,30,6188,0.24622796828068105,0.049864143350308185,0.000633888991898256,0.24498532558860425,0.24747061097275785
chestmnist,VGG16,28,6188,0.24098750839097777,0.048881327300961556,0.0006213951188888461,0.23976935803145336,0.24220565875050218
chestmnist,VGG16,26,6188,0.21883814981172334,0.0462114456136414,0.0005874547261025229,0.2176865344158932,0.21998976520755348
chestmnist,VGG16,24,6188,0.20660874867750392,0.04467688753548838,0.0005679469313664135,0.2054953753380546,0.20772212201695325
chestmnist,VGG16,16,6188,0.17353037621346726,0.04015892070578325,0.0005105130871912114,0.1725295931660949,0.17453115926083962
chestmnist,VGG16,12,6188,0.16191613521010317,0.03773528640303756,0.0004797030701794982,0.16097575050214308,0.16285651991806327
chestmnist,VGG16,8,6188,0.15658017294872706,0.03590311238132,0.000456411886062494,0.1556854470550116,0.1574748988424425
chestmnist,ViT,224,6188,0.9999999953957628,1.00881051290412e-07,1.282432297189365e-09,0.9999999928817499,0.9999999979097757
chestmnist,ViT,192,6188,0.9419979749472587,0.01879777313174768,0.00023896332434119745,0.9415295237949871,0.9424664260995302
chestmnist,ViT,160,6188,0.9105594801224658,0.0265368231823112,0.0003373446120801261,0.9098981674600428,0.9112207927848888
chestmnist,ViT,128,6188,0.8587928089832751,0.03770722685376346,0.00047934636818468957,0.8578531235351741,0.8597324944313762
chestmnist,ViT,112,6188,0.7975578989590378,0.04884865385468788,0.0006209797635547585,0.7963405628402986,0.798775235077777
