Dataset,Model,N,PathA_coef,PathA_p,PathA_r2,PathC_resolution_coef,PathC_resolution_p,PathB_stability_coef,PathB_stability_p,PathCprime_resolution_coef,PathCprime_resolution_p,Shrinkage_abs,Shrinkage_pct,Mediation_pattern_consistent
chestmnist,ResNet18,111384,0.8489838151247604,0.0,0.7207735183438935,4.767261914510865,0.0,4.768193990235839,5.5475339799790835e-171,1.1444481391399095,3.208416643621449e-36,3.6228137753709553,75.99359633133702,True
chestmnist,VGG16,111384,0.951812813819033,0.0,0.9059476325502315,2.9402051679990615,0.0,3.7026204284643494,2.8058307588429985e-232,0.7375265584227919,1.6797851013256718e-34,2.2026786095762696,74.9158131395058,True
chestmnist,ViT,111384,0.9270062399865764,0.0,0.8593405689741695,3.540544951730108,0.0,3.9920688397826276,0.0,0.29999171639464306,1.4347239155151567e-08,3.240553235335465,91.52696207830802,True
stl10,ResNet18,104000,0.8986130820359111,0.0,0.8075054712060971,4.620838183856661,0.0,6.207422614310905,0.0,0.04381514133753996,0.5477014807387688,4.57702304251912,99.05179234601609,True
stl10,VGG16,104000,0.8925864104634114,0.0,0.7967105001439758,3.1701329066469346,0.0,3.9761263206835435,0.0,0.7431381333919517,5.354503406641364e-63,2.426994773254983,76.55813950784881,True
stl10,ViT,104000,0.8667584953362881,0.0,0.7512702892376434,3.96318853833386,0.0,2.6487263676935506,0.0,1.2514927124113597,2.5619781244754884e-92,2.7116958259225,68.42207479391095,True
