Dataset,Source,SS,ddof1,ddof2,MS,F,p_unc,p_GG_corr,ng2,eps,Final_p
chestmnist,Model,5091.53563525347,2,12374,2545.767817626735,147304.23527730492,0.0,0.0,0.8587050602184955,0.8409215990784015,0.0
chestmnist,Resolution,19601.56557796592,17,105179,1153.033269292113,753858.2833546776,0.0,0.0,0.959011282401988,0.18398244764884514,0.0
chestmnist,Model * Resolution,790.7603856680071,34,210358,23.257658402000207,21463.773996052776,0.0,0.0,0.4855630812362152,0.11213411628944672,0.0
stl10,Model,1925.9033023657062,2,15998,962.9516511828531,24097.178378014843,0.0,0.0,0.42670269300724023,0.8444210613467155,0.0
stl10,Resolution,13545.181022440076,12,95988,1128.7650852033396,234166.1482991104,0.0,0.0,0.8396086054364211,0.23088273145954008,0.0
stl10,Model * Resolution,648.3685766081853,24,191976,27.01535735867439,11822.21216197136,0.0,0.0,0.20036606870359788,0.10748607899289016,0.0
