Dataset,Resolution,Comparison,N,Skewness,Excess_Kurtosis,Pass
stl10,30,ResNet18 vs ViT,8000,0.24052750304134018,-0.2922923563710471,True
stl10,30,VGG16 vs ViT,8000,-0.010194713046009425,-0.06165834166082096,True
stl10,32,ResNet18 vs VGG16,8000,0.21724288762829932,-0.11564662739947318,True
stl10,32,ResNet18 vs ViT,8000,0.3174195971738327,-0.21172179619827558,True
stl10,32,VGG16 vs ViT,8000,0.013365002626468177,-0.033799608435360895,True
stl10,40,ResNet18 vs VGG16,8000,0.3997499710523733,0.09657266404356957,True
stl10,40,ResNet18 vs ViT,8000,0.6224099500662474,0.3640605303299007,True
stl10,40,VGG16 vs ViT,8000,0.11271999080803047,0.19980213493901156,True
stl10,48,ResNet18 vs VGG16,8000,0.499137660162271,0.22295870642651971,True
stl10,48,ResNet18 vs ViT,8000,0.8333348696426448,0.9931905919540096,True
stl10,48,VGG16 vs ViT,8000,0.14466698119653906,0.41118213231188694,True
stl10,56,ResNet18 vs VGG16,8000,0.655546013902719,0.5033699242727212,True
stl10,56,ResNet18 vs ViT,8000,1.145124052001632,2.5024324694004783,True
stl10,56,VGG16 vs ViT,8000,0.08682897898890538,0.9109700567424701,True
stl10,64,ResNet18 vs VGG16,8000,0.8095854416325459,0.8760542875848114,True
stl10,64,ResNet18 vs ViT,8000,1.3534736726048848,3.474720534638985,True
stl10,64,VGG16 vs ViT,8000,0.08932558576477027,1.1752728965525057,True
stl10,80,ResNet18 vs VGG16,8000,1.0597717865893586,1.8706625068835994,True
stl10,80,ResNet18 vs ViT,8000,1.8545702626328886,7.3328148430285935,False
stl10,80,VGG16 vs ViT,8000,-0.06351842170624371,2.9105058166862827,True
