Dataset,Model,Shrinkage_pct_CI_Lower,Shrinkage_pct_CI_Upper,Shrinkage_pct_n_boot_success
chestmnist,ResNet18,71.03654578395603,82.62213830412871,38
chestmnist,VGG16,72.58927885208202,79.28862943461873,10
chestmnist,ViT,89.88941848936014,93.7261367931952,10
stl10,ResNet18,96.42309089610815,100.39874216014336,10
stl10,VGG16,75.37041443426989,77.7865163178189,10
stl10,ViT,66.71422514245256,69.59628595428597,10
