Dataset,Model,Resolution,N,Top1_Acc,Top1_CI_Lower,Top1_CI_Upper,Top5_Acc,Top5_CI_Lower,Top5_CI_Upper,Mean_Rank,Median_Rank
chestmnist,VGG16,30,6188,0.0011312217194570137,0.000548078460632116,0.0023333678650450003,0.007756948933419522,0.005855895709775275,0.010268783755081381,1984.7128312863606,1588.0
chestmnist,VGG16,28,6188,0.0014544279250161603,0.0007653845960102726,0.0027620731023097487,0.006464124111182934,0.004750857850047454,0.008789776124237581,2071.1368778280544,1693.5
chestmnist,VGG16,26,6188,0.001292824822236587,0.0006552470736567184,0.0025492049383418498,0.005656108597285068,0.004069842074222077,0.0078557634684557,2196.8253070458954,1850.5
chestmnist,VGG16,24,6188,0.0009696186166774402,0.00044445829009886627,0.002113982349256798,0.004848093083387201,0.0033981387085995195,0.006912438402470996,2284.5143826761473,1955.5
chestmnist,VGG16,16,6188,0.0008080155138978668,0.0003451837599393994,0.0018902511930948122,0.003232062055591467,0.0020932986454925053,0.004987221602363489,2544.5639948287007,2299.5
chestmnist,VGG16,12,6188,0.0004848093083387201,0.00016489230461782926,0.0014245312757734784,0.0022624434389140274,0.0013482074036379483,0.003794278726289334,2623.4920814479638,2403.0
chestmnist,VGG16,8,6188,0.0004848093083387201,0.00016489230461782926,0.0014245312757734784,0.0019392372333548805,0.0011097017447139151,0.003386773012570463,2754.9518422753717,2602.0
chestmnist,ViT,224,6188,1.0,0.999379593478573,1.0,1.0,0.999379593478573,1.0,0.0,0.0
chestmnist,ViT,192,6188,0.9996767937944409,0.998822221380329,0.9999113607256013,1.0,0.999379593478573,1.0,0.0004848093083387201,0.0
chestmnist,ViT,160,6188,0.996606334841629,0.9948172809037674,0.9977791931620552,0.998868778280543,0.997666632134955,0.9994519215393678,0.022462831286360698,0.0
chestmnist,ViT,128,6188,0.9479638009049773,0.9421468451418878,0.9532249173411774,0.9822236586942469,0.9786196366179022,0.985229331365311,1.0284421460892048,0.0
chestmnist,ViT,112,6188,0.773109243697479,0.7625064426175742,0.7833731672656802,0.8925339366515838,0.884572446019529,0.9000083660552785,8.612960568842922,0.0
chestmnist,ViT,96,6188,0.7664835164835165,0.755779130196819,0.7768572465472557,0.8886554621848739,0.8805756221746911,0.8962530534284013,9.369909502262443,0.0
chestmnist,ViT,80,6188,0.5302197802197802,0.517769804666334,0.5426322586757776,0.7194570135746606,0.7081297693254229,0.7305119526991091,33.496767937944405,0.0
chestmnist,ViT,64,6188,0.27472527472527475,0.2637458487963561,0.2859842244715396,0.4718810601163542,0.45946422224271355,0.4843327883373537,108.62766645119586,6.0
chestmnist,ViT,56,6188,0.1632191338073691,0.15422058114570344,0.17263556856039022,0.3185197155785391,0.30702708587711347,0.33023752838389564,200.32789269553976,21.0
chestmnist,ViT,48,6188,0.08968972204266322,0.08282261104527922,0.0970659513845537,0.19796380090497737,0.18822447360217828,0.2080778986630276,334.719941822883,61.0
chestmnist,ViT,40,6188,0.037815126050420166,0.033342057552718046,0.042861679567928704,0.10067873303167421,0.09342750466728095,0.10842544443241073,608.9865869424693,183.0
chestmnist,ViT,32,6188,0.013251454427925016,0.010689254523035173,0.016417618276750857,0.041047188106011635,0.03638200490226706,0.04628184594480873,1075.906916612799,515.5
chestmnist,ViT,30,6188,0.011150614091790563,0.008820886579704562,0.014086912297902592,0.031027795733678087,0.026990098042119853,0.035647400253025915,1240.6667744020685,675.5
