TABLE: Table1_Collinearity - Sheet1
Dataset,Model,Pearson r,VIF
chestmnist,ResNet18,0.849,3.58
chestmnist,VGG16,0.952,10.63
chestmnist,ViT,0.927,7.11
stl10,ResNet18,0.899,5.19
stl10,VGG16,0.893,4.92
stl10,ViT,0.867,4.02

TABLE: TableS10_Paired_Diff_Normality - Sheet1
Dataset,Resolution,Comparison,N,Skewness,Kurtosis,Pass
stl10,30,VGG16 vs ViT,8000,-0.0102,-0.0617,True
stl10,32,ResNet18 vs VGG16,8000,0.2172,-0.1156,True
stl10,32,ResNet18 vs ViT,8000,0.3174,-0.2117,True
stl10,32,VGG16 vs ViT,8000,0.0134,-0.0338,True
stl10,40,ResNet18 vs VGG16,8000,0.3997,0.0966,True
stl10,40,ResNet18 vs ViT,8000,0.6224,0.3641,True
stl10,40,VGG16 vs ViT,8000,0.1127,0.1998,True
stl10,48,ResNet18 vs VGG16,8000,0.4991,0.223,True
stl10,48,ResNet18 vs ViT,8000,0.8333,0.9932,True
stl10,48,VGG16 vs ViT,8000,0.1447,0.4112,True
stl10,56,ResNet18 vs VGG16,8000,0.6555,0.5034,True
stl10,56,ResNet18 vs ViT,8000,1.1451,2.5024,True
stl10,56,VGG16 vs ViT,8000,0.0868,0.911,True
stl10,64,ResNet18 vs VGG16,8000,0.8096,0.8761,True
stl10,64,ResNet18 vs ViT,8000,1.3535,3.4747,True
stl10,64,VGG16 vs ViT,8000,0.0893,1.1753,True
stl10,80,ResNet18 vs VGG16,8000,1.0598,1.8707,True
stl10,80,ResNet18 vs ViT,8000,1.8546,7.3328,False
stl10,80,VGG16 vs ViT,8000,-0.0635,2.9105,True

TABLE: TableS1_Descriptive_Statistics - Sheet1
Dataset,Model,resolution,mean,std,ci_lower,ci_upper
chestmnist,ResNet18,224,1,0,1,1
chestmnist,ResNet18,192,0.9807,0.0047,0.9806,0.9809
chestmnist,ResNet18,160,0.9712,0.007,0.971,0.9714
chestmnist,ResNet18,128,0.9533,0.011,0.9531,0.9536
chestmnist,ResNet18,112,0.9344,0.015,0.934,0.9347
chestmnist,ResNet18,96,0.9268,0.0167,0.9264,0.9272
chestmnist,ResNet18,80,0.8993,0.0219,0.8987,0.8998
chestmnist,ResNet18,64,0.8568,0.0289,0.8561,0.8575
chestmnist,ResNet18,56,0.8166,0.0343,0.8157,0.8174
chestmnist,ResNet18,48,0.7798,0.0392,0.7788,0.7807
chestmnist,ResNet18,40,0.7237,0.0459,0.7226,0.7248
chestmnist,ResNet18,32,0.6503,0.053,0.649,0.6517
chestmnist,ResNet18,30,0.621,0.0568,0.6196,0.6224
chestmnist,ResNet18,28,0.5949,0.0606,0.5934,0.5964
chestmnist,ResNet18,26,0.5694,0.0602,0.5679,0.5709
chestmnist,ResNet18,24,0.5397,0.0613,0.5382,0.5413
chestmnist,ResNet18,16,0.4403,0.0531,0.439,0.4417
chestmnist,ResNet18,12,0.4014,0.0468,0.4003,0.4026
chestmnist,ResNet18,8,0.377,0.0412,0.376,0.378
chestmnist,VGG16,224,1,0,1,1
chestmnist,VGG16,192,0.9091,0.0243,0.9085,0.9097
chestmnist,VGG16,160,0.8705,0.0336,0.8697,0.8713
chestmnist,VGG16,128,0.7971,0.047,0.7959,0.7983
chestmnist,VGG16,112,0.7234,0.0587,0.7219,0.7249
chestmnist,VGG16,96,0.697,0.0604,0.6955,0.6985
chestmnist,VGG16,80,0.6197,0.0676,0.618,0.6214
chestmnist,VGG16,64,0.5248,0.0699,0.5231,0.5265
chestmnist,VGG16,56,0.4501,0.0675,0.4484,0.4518
chestmnist,VGG16,48,0.3951,0.0633,0.3936,0.3967
chestmnist,VGG16,40,0.3267,0.0582,0.3252,0.3281
chestmnist,VGG16,32,0.2634,0.0513,0.2621,0.2646
chestmnist,VGG16,30,0.2462,0.0499,0.245,0.2475
chestmnist,VGG16,28,0.241,0.0489,0.2398,0.2422
chestmnist,VGG16,26,0.2188,0.0462,0.2177,0.22
chestmnist,VGG16,24,0.2066,0.0447,0.2055,0.2077
chestmnist,VGG16,16,0.1735,0.0402,0.1725,0.1745
chestmnist,VGG16,12,0.1619,0.0377,0.161,0.1629
chestmnist,VGG16,8,0.1566,0.0359,0.1557,0.1575
chestmnist,ViT,224,1,0,1,1
chestmnist,ViT,192,0.942,0.0188,0.9415,0.9425
chestmnist,ViT,160,0.9106,0.0265,0.9099,0.9112
chestmnist,ViT,128,0.8588,0.0377,0.8579,0.8597
chestmnist,ViT,112,0.7976,0.0488,0.7963,0.7988
chestmnist,ViT,96,0.7891,0.0508,0.7878,0.7904
chestmnist,ViT,80,0.7122,0.0622,0.7106,0.7137
chestmnist,ViT,64,0.6081,0.0718,0.6063,0.6098
chestmnist,ViT,56,0.5523,0.0749,0.5505,0.5542
chestmnist,ViT,48,0.4745,0.0745,0.4726,0.4764
chestmnist,ViT,40,0.3897,0.0705,0.3879,0.3914
chestmnist,ViT,32,0.2895,0.063,0.2879,0.291
chestmnist,ViT,30,0.2706,0.0613,0.2691,0.2721
chestmnist,ViT,28,0.2626,0.0615,0.2611,0.2641
chestmnist,ViT,26,0.228,0.0568,0.2266,0.2295
chestmnist,ViT,24,0.2089,0.0549,0.2075,0.2103
chestmnist,ViT,16,0.1663,0.0469,0.1651,0.1674
chestmnist,ViT,12,0.1581,0.0457,0.157,0.1592
chestmnist,ViT,8,0.1439,0.0422,0.1429,0.145
stl10,ResNet18,96,1,0,1,1
stl10,ResNet18,80,0.973,0.0101,0.9728,0.9732
stl10,ResNet18,64,0.9398,0.0205,0.9393,0.9402
stl10,ResNet18,56,0.9121,0.0278,0.9115,0.9127
stl10,ResNet18,48,0.8721,0.0377,0.8713,0.873
stl10,ResNet18,40,0.8293,0.0463,0.8283,0.8303
stl10,ResNet18,32,0.7683,0.0559,0.7671,0.7696
stl10,ResNet18,30,0.7416,0.0589,0.7403,0.7428
stl10,ResNet18,28,0.7227,0.0608,0.7214,0.724
stl10,ResNet18,26,0.6934,0.0635,0.6921,0.6948
stl10,ResNet18,24,0.6647,0.0651,0.6633,0.6662
stl10,ResNet18,16,0.5444,0.0664,0.5429,0.5458
stl10,ResNet18,12,0.4865,0.0634,0.4851,0.4879
stl10,ResNet18,8,0.4465,0.0599,0.4452,0.4478
stl10,VGG16,96,1,0,1,1
stl10,VGG16,80,0.9237,0.0313,0.923,0.9244
stl10,VGG16,64,0.847,0.0562,0.8457,0.8482
stl10,VGG16,56,0.7892,0.0711,0.7876,0.7907
stl10,VGG16,48,0.724,0.0842,0.7221,0.7258
stl10,VGG16,40,0.6588,0.095,0.6567,0.6609
stl10,VGG16,32,0.5776,0.1047,0.5753,0.5799
stl10,VGG16,30,0.5442,0.1064,0.5418,0.5465
stl10,VGG16,28,0.525,0.107,0.5227,0.5273
stl10,VGG16,26,0.4938,0.1079,0.4915,0.4962
stl10,VGG16,24,0.4649,0.1078,0.4625,0.4673
stl10,VGG16,16,0.3587,0.1011,0.3565,0.3609
stl10,VGG16,12,0.311,0.094,0.3089,0.313
stl10,VGG16,8,0.2651,0.0887,0.2631,0.267
stl10,ViT,96,1,0,1,1
stl10,ViT,80,0.9547,0.027,0.9542,0.9553
stl10,ViT,64,0.8975,0.0551,0.8963,0.8987
stl10,ViT,56,0.8571,0.0726,0.8555,0.8587
stl10,ViT,48,0.7877,0.0988,0.7855,0.7898
stl10,ViT,40,0.7163,0.1201,0.7137,0.7189
stl10,ViT,32,0.607,0.1446,0.6039,0.6102
stl10,ViT,30,0.5702,0.1485,0.567,0.5735
stl10,ViT,28,0.5386,0.1528,0.5352,0.5419
stl10,ViT,26,0.4907,0.1549,0.4873,0.4941
stl10,ViT,24,0.4443,0.1551,0.4409,0.4477
stl10,ViT,16,0.2547,0.1302,0.2519,0.2576
stl10,ViT,12,0.1645,0.0991,0.1623,0.1666
stl10,ViT,8,0.0933,0.0666,0.0918,0.0947

TABLE: TableS2_RM_ANOVA - Sheet1
Dataset,Source,SS,ddof1,ddof2,MS,F,p_unc,p_GG_corr,ng2,eps,Final_p
chestmnist,Model,5091.5356,2,12374,2545.7678,147304.2406,0,0,0.8587,0.8409,0
chestmnist,Resolution,19601.5654,17,105179,1153.0333,753858.3937,0,0,0.959,0.184,0
chestmnist,Model * Resolution,790.7604,34,210358,23.2577,21463.7704,0,0,0.4856,0.1121,0
stl10,Model,1925.9033,2,15998,962.9517,24097.1784,0,0,0.4267,0.8444,0
stl10,Resolution,13545.181,12,95988,1128.7651,234166.1483,0,0,0.8396,0.2309,0
stl10,Model * Resolution,648.3686,24,191976,27.0154,11822.2122,0,0,0.2004,0.1075,0

TABLE: TableS3_PostHoc_Comparisons - Sheet1
Dataset,Resolution,Comparison,Mean_Difference,CI_Lower,CI_Upper,Holm_p,Cohens_dz,Significant
chestmnist,8,ResNet18 vs VGG16,0.2204,0.2193,0.2215,0,4.8754,True
chestmnist,8,ResNet18 vs ViT,0.2331,0.2318,0.2343,0,4.6223,True
chestmnist,8,VGG16 vs ViT,0.0127,0.0115,0.0138,0,0.2812,True
chestmnist,12,ResNet18 vs VGG16,0.2395,0.2383,0.2407,0,4.8252,True
chestmnist,12,ResNet18 vs ViT,0.2433,0.2419,0.2448,0,4.2009,True
chestmnist,12,VGG16 vs ViT,0.0038,0.0026,0.0051,0,0.0757,True
chestmnist,16,ResNet18 vs VGG16,0.2668,0.2655,0.2682,0,4.9801,True
chestmnist,16,ResNet18 vs ViT,0.2741,0.2725,0.2756,0,4.378,True
chestmnist,16,VGG16 vs ViT,0.0073,0.0059,0.0086,0,0.1374,True
chestmnist,24,ResNet18 vs VGG16,0.3331,0.3315,0.3347,0,5.25,True
chestmnist,24,ResNet18 vs ViT,0.3308,0.329,0.3326,0,4.5325,True
chestmnist,24,VGG16 vs ViT,-0.0023,-0.0039,-0.0007,0.004,-0.0366,True
chestmnist,26,ResNet18 vs VGG16,0.3506,0.349,0.3522,0,5.5537,True
chestmnist,26,ResNet18 vs ViT,0.3414,0.3395,0.3432,0,4.6061,True
chestmnist,26,VGG16 vs ViT,-0.0092,-0.0109,-0.0076,0,-0.1389,True
chestmnist,28,ResNet18 vs VGG16,0.3539,0.3524,0.3555,0,5.5992,True
chestmnist,28,ResNet18 vs ViT,0.3323,0.3305,0.3342,0,4.5167,True
chestmnist,28,VGG16 vs ViT,-0.0216,-0.0233,-0.0199,0,-0.3127,True
chestmnist,30,ResNet18 vs VGG16,0.3748,0.3732,0.3763,0,6.0698,True
chestmnist,30,ResNet18 vs ViT,0.3504,0.3486,0.3522,0,4.7723,True
chestmnist,30,VGG16 vs ViT,-0.0244,-0.0262,-0.0226,0,-0.3367,True
chestmnist,32,ResNet18 vs VGG16,0.387,0.3855,0.3885,0,6.3906,True
chestmnist,32,ResNet18 vs ViT,0.3609,0.3591,0.3627,0,4.9434,True
chestmnist,32,VGG16 vs ViT,-0.0261,-0.028,-0.0242,0,-0.3484,True
chestmnist,40,ResNet18 vs VGG16,0.397,0.3956,0.3985,0,6.7244,True
chestmnist,40,ResNet18 vs ViT,0.334,0.3321,0.3359,0,4.4439,True
chestmnist,40,VGG16 vs ViT,-0.063,-0.0652,-0.0609,0,-0.7327,True
chestmnist,48,ResNet18 vs VGG16,0.3846,0.3832,0.3861,0,6.6131,True
chestmnist,48,ResNet18 vs ViT,0.3053,0.3033,0.3072,0,3.9433,True
chestmnist,48,VGG16 vs ViT,-0.0794,-0.0817,-0.077,0,-0.849,True
chestmnist,56,ResNet18 vs VGG16,0.3665,0.365,0.368,0,6.1655,True
chestmnist,56,ResNet18 vs ViT,0.2643,0.2624,0.2662,0,3.4824,True
chestmnist,56,VGG16 vs ViT,-0.1022,-0.1046,-0.0998,0,-1.0622,True
chestmnist,64,ResNet18 vs VGG16,0.332,0.3305,0.3335,0,5.4908,True
chestmnist,64,ResNet18 vs ViT,0.2488,0.247,0.2506,0,3.4345,True
chestmnist,64,VGG16 vs ViT,-0.0832,-0.0857,-0.0808,0,-0.8624,True
chestmnist,80,ResNet18 vs VGG16,0.2796,0.2781,0.281,0,4.7006,True
chestmnist,80,ResNet18 vs ViT,0.1871,0.1856,0.1886,0,3.0631,True
chestmnist,80,VGG16 vs ViT,-0.0924,-0.0946,-0.0903,0,-1.0611,True
chestmnist,96,ResNet18 vs VGG16,0.2298,0.2284,0.2311,0,4.2106,True
chestmnist,96,ResNet18 vs ViT,0.1377,0.1365,0.1389,0,2.8023,True
chestmnist,96,VGG16 vs ViT,-0.0921,-0.0939,-0.0902,0,-1.235,True
chestmnist,112,ResNet18 vs VGG16,0.2109,0.2096,0.2123,0,3.9255,True
chestmnist,112,ResNet18 vs ViT,0.1368,0.1356,0.138,0,2.879,True
chestmnist,112,VGG16 vs ViT,-0.0741,-0.0759,-0.0723,0,-1.0257,True
chestmnist,128,ResNet18 vs VGG16,0.1562,0.1551,0.1573,0,3.5615,True
chestmnist,128,ResNet18 vs ViT,0.0945,0.0936,0.0954,0,2.5768,True
